5,-97,44,68,-10,67,36,95,97,20,2,-53,4,9,-53,-72
20,-97,22,-30,-65,71,86,37,14,100,52,60,-42,48,-33,-1
18,-96,-13,98,-11,-33,7,85,67,-92,49,74,-62,68,52,-13
22,-94,-13,-90,-97,-14,50,29,-19,-5,-43,56,-52,32,-10,-100
19,-83,62,-97,25,-18,-63,-2,-27,67,-82,-48,-36,-16,14,-27
17,-80,-37,29,-63,-15,-41,-70,59,-83,-16,58,-15,0,-45,-33
7,-77,97,91,-18,3,-85,-86,0,80,89,41,41,86,90,31
16,-69,62,74,-92,38,-19,13,-91,88,-90,-13,0,35,-77,14
13,-59,90,29,4,93,65,64,-66,47,-59,17,-40,42,-40,13
21,-52,-61,-78,-28,-33,9,64,75,-38,-62,37,-43,-60,-32,75
23,-33,-51,43,91,-3,-96,13,-70,-10,-60,29,25,-61,-61,17
15,-12,82,-92,80,-35,-43,64,-45,56,82,-10,30,-24,-84,27
24,-6,-10,5,-32,-68,19,-36,-22,34,-76,21,-55,-4,20,-99
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
8,14,89,14,-13,-15,-55,-88,-64,-55,-48,-23,89,94,19,-91
26,23,-37,-79,66,-71,-55,-10,-49,-10,-4,88,45,89,-76,-48
4,38,58,55,30,30,-45,63,-91,99,-64,-61,98,-89,-84,11
6,38,43,73,69,43,63,46,19,-10,-9,-85,-40,49,96,-73
25,43,-70,83,-46,98,91,21,-42,-74,98,-47,-38,-8,-48,37
2,50,24,-26,25,7,-28,-83,51,-80,78,-76,-86,89,90,86
12,64,99,-15,-94,-66,-78,-68,-70,43,-31,68,91,66,11,25
9,75,-43,29,-59,25,39,-83,0,25,-74,-82,33,11,24,-31
14,84,-67,-89,46,-75,18,35,53,63,-8,-47,-83,-2,-37,28
3,91,-43,-92,-55,-41,-39,-16,-31,77,-29,-39,86,90,98,-17
10,93,87,-36,-64,-56,85,-6,61,-96,11,8,-91,81,61,10
11,100,-79,-80,8,41,97,26,-94,27,41,-66,34,58,-21,73
-1,24,17,3,9
-1,7,17,3,24
-1,3,17,9,24
